Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.566484,      0.1001076,              0,       557.9789,      -111.9425
       4.568438,      0.1000922,              0,       557.1941,      -110.9658
       4.570391,     0.09995373,              0,       554.2477,      -111.6416
       4.572344,      0.1001092,              0,       559.3811,      -112.1714
       4.574297,      0.1001073,              0,       565.6343,      -112.2693
        4.57625,      0.1000319,              0,       566.1589,      -111.9543
       4.578203,      0.1000622,              0,       566.1982,      -111.8037
       4.580156,      0.1000635,              0,       566.4383,      -111.5141
       4.582109,     0.09999234,              0,       567.8809,      -112.5304
       4.584063,      0.1001997,              0,       575.2164,       -112.198
       4.586016,      0.1001802,              0,       577.1016,       -110.716
       4.587969,       0.100002,              0,       571.9723,      -110.3043
       4.589922,     0.09988952,              0,       569.4202,      -111.6647
       4.591875,      0.1001342,              0,       579.8163,      -112.7414
       4.593828,      0.1001696,              0,       583.6346,      -111.4637
       4.595781,       0.100129,              0,       585.7233,      -111.1141
       4.597734,     0.09999967,              0,       581.8499,      -111.1275
       4.599688,      0.1000618,              0,       585.8711,       -111.999
        4.60165,      0.1000713,              0,       588.3981,      -112.3918
       4.603603,      0.1001179,              0,       592.2366,      -111.8785
       4.605556,      0.1000206,              0,       591.2051,      -112.0341
        4.60751,      0.1001323,              0,       594.9359,      -111.8948
       4.609463,        0.10005,              0,       598.0931,      -111.8546
       4.611416,      0.1000013,              0,       596.8729,      -112.1514
       4.613369,      0.1000447,              0,       600.1763,      -112.7265
       4.615322,      0.1002012,              0,       607.7607,      -112.6726
       4.617275,      0.1001039,              0,       605.5762,      -111.3553
       4.619228,      0.0998517,              0,       600.7973,      -112.8148
       4.621181,      0.1000767,              0,       609.0532,      -113.6561
       4.623135,      0.1002773,              0,       617.8819,      -112.4725
       4.625088,     0.09991149,              0,       609.9874,       -112.402
       4.627041,       0.100038,              0,       615.4766,       -113.547
       4.628994,       0.100299,              0,       625.7491,       -112.425
       4.630947,      0.1000051,              0,        619.005,       -111.576
         4.6329,      0.1002396,              0,       619.0537,      -112.3918
       4.634853,      0.1000419,              0,       624.0298,      -112.8462
       4.636806,      0.1002291,              0,       630.1586,      -112.1763
        4.63876,      0.1000149,              0,       628.6489,      -112.1938
       4.640713,      0.1000519,              0,       632.1707,       -112.794
