Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        6.39543,      0.1989123,              0,       434.6656,      -103.0698
       6.397265,      0.1989611,              0,       435.4477,      -101.9754
       6.399063,      0.1999803,              0,       441.7176,      -101.4798
       6.400898,      0.2001733,              0,        447.752,      -102.1645
       6.402734,      0.1997333,              0,       444.8681,      -102.7132
       6.404571,      0.1992186,              0,       442.7126,      -102.7087
       6.406406,      0.1992031,              0,       444.3387,      -102.1463
       6.408242,      0.1996817,              0,       448.0029,      -101.7934
       6.410078,      0.1999552,              0,       451.9185,      -102.0699
       6.411914,      0.1996232,              0,       452.2936,      -102.4594
       6.413711,      0.1993333,              0,       451.1183,      -102.4527
       6.415547,      0.1999806,              0,       453.6714,      -101.8898
       6.417383,      0.1998833,              0,       456.8033,      -102.4611
       6.419219,      0.1994629,              0,       455.2447,      -102.5912
       6.421055,      0.1993419,              0,       455.4441,      -102.4476
       6.422891,      0.1997767,              0,       459.1326,      -102.0974
       6.424726,      0.1997994,              0,       460.3378,      -102.3709
       6.426543,      0.1995583,              0,       460.7093,      -102.5226
       6.428379,      0.1992939,              0,       461.5237,      -102.4259
       6.430215,      0.1995343,              0,       463.2298,       -102.246
       6.432051,      0.2001646,              0,       467.7715,      -102.2566
       6.433887,      0.1998592,              0,        468.365,      -102.7078
       6.435684,      0.1991752,              0,        463.841,      -102.9535
        6.43752,      0.1990739,              0,       465.2055,      -102.3447
       6.439355,      0.1999478,              0,       470.1592,        -101.96
       6.441192,      0.2002611,              0,        475.297,      -102.4713
       6.443027,      0.1999422,              0,        473.361,      -103.2313
       6.444863,      0.1993527,              0,       470.8562,      -103.0967
       6.446699,      0.1987512,              0,       469.0339,      -102.7431
       6.448535,      0.1996169,              0,       474.1934,      -102.0607
       6.450371,      0.2001256,              0,       480.6154,      -102.2253
       6.452188,      0.2001523,              0,       481.2678,      -102.7612
       6.454004,       0.199364,              0,       478.9999,      -103.0893
        6.45584,       0.199265,              0,       478.0798,      -102.8973
       6.457676,      0.1996517,              0,       481.7636,      -102.5406
       6.459512,      0.1996708,              0,       484.4358,       -102.482
       6.461348,      0.1997651,              0,       485.6403,      -102.6329
       6.463183,      0.1997787,              0,       488.6638,       -102.618
        6.46502,       0.199274,              0,       487.0913,      -102.7697
       6.466816,      0.1994527,              0,       489.3536,      -102.5832
       6.468652,       0.199696,              0,       492.1024,      -102.5748
       6.470489,      0.1999183,              0,       494.9202,      -102.8178
       6.472324,      0.1996615,              0,       493.6026,      -103.0636
        6.47416,      0.1994816,              0,       493.9691,      -102.9389
       6.475996,       0.199517,              0,       495.1888,      -102.8289
       6.477832,      0.1994307,              0,       495.9166,      -102.7296
       6.479668,      0.1995821,              0,       499.3299,      -102.4908
       6.481504,      0.1997781,              0,       503.5007,      -102.7307
       6.483301,      0.1994357,              0,       503.5613,      -102.9533
       6.485137,       0.199453,              0,       503.4943,      -102.6397
       6.486973,      0.1997016,              0,       506.7663,      -102.6432
       6.488809,      0.1999006,              0,        509.117,      -102.9376
       6.490644,      0.1997758,              0,       510.3563,      -103.1674
        6.49248,      0.1993114,              0,       508.4702,      -103.4536
       6.494317,      0.1993936,              0,       509.4973,      -102.9119
       6.496152,      0.1997079,              0,       511.2791,       -102.839
       6.497949,      0.1994102,              0,       515.1801,      -102.8034
       6.499785,      0.1996346,              0,       516.4413,      -102.8055
       6.501621,      0.1996255,              0,       517.7049,      -102.7717
       6.503457,      0.1993959,              0,       519.1974,      -102.8829
       6.505293,      0.1996214,              0,       521.0471,      -102.8851
       6.507129,      0.1997899,              0,       522.6163,      -102.8922
